,Weight (kg),Power (hp),Torque (Nm),Top speed (km/h) ,Century sprint (s)
E90 320i,1445,168,200,220,9
E90 325i,1505,215,250,242,6.3
E90 330i,1555,255,300,250,6.1
E92 335i,1610,302,400,250,5.6
F30 318i,1475,136,220,210,9.3
F30 320i,1490,184,270,235,7.7
F30 328i,1505,245,350,250,5.9
F30 330i,1545,252,350,250,5.8
F30 335i,1585,306,400,250,5.5
G20 320i,1590,184,300,235,7.2
G20 330i,1600,245,400,250,5.8
G20 M340i,1800,374,500,250,4.4
G12 740Ld,1975,320,700,250,5.1
G12 740Le,1940,326,500,250,5.8
G12 745Le,2185,394,600,250,5.1
G11 M760i,2180,609,800,305,3.9
G12 M760Li,2320,585,850,305,3.9
G11 740i,1800,340,450,250,5.5
G11 750i,1845,450,650,250,4.7
G70 735i,2075,286,400,250,6.7
G70 740i,2090,382,520,250,5.4
G70 740d,2255,300,650,250,5.8
G70 750e,2455,490,700,250,4.8
G70 M760e,2525,571,800,250,4.3
G70 760i,2345,544,750,250,4.2
